entity_id,created_by_user_id,user_id,name,username,email,web,description,description_alt,cuit,cuil,founded_date,employee_count,country,country_id,state,state_id,city,city_id,street,street_number,apartment,apartment_number,postal_code,phone,phone_alt,international_activity_code
14,,1,VERY NICE ARGENTINA SA,VERY_NICE_ARGENTINA_SA,artemisi@sinectis.com.ar,www.sinectis.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de productos textiles n.c.p.,30711589208,,2010-04-20,4,Argentina,1,Buenos Aires,3269,,,FALUCHO,3253,,,7600,0-0,0-0,222090
15,,1,PICOS PULVERIZADORES SA,PICOS_PULVERIZADORES_SA,Sofiafemale@hotmail.com,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,30710684932,,2008-06-02,4,Argentina,1,Buenos Aires,3269,,,RAWSON,1569,,,1722,220-4861514,220-4861390,222090
16,,1,ELECTRO ROAR INDUSTRIAL SA,ELECTRO_ROAR_INDUSTRIAL_SA,mauro.ochoa@telectroroar.com.ar,www.telectroroar.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,30624312151,,1981-06-24,4,Argentina,1,Buenos Aires,3269,,,M G BALCARCE,4144,,,1826,11-42866421,11-42761086,222090
17,,1,PRECISIONS PLAST SRL,PRECISIONS_PLAST_SRL,precisionsplast@arnet.com.ar,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,30653761224,,1991-11-23,4,Argentina,1,Buenos Aires,3269,,,SARMIENTO,2985,,,1618,0-7407081,11-47368388,222090
18,,1,NAONIS SRL,NAONIS_SRL,ventas@naonis.com.ar,www.naonis.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de ropa de cama y mantelería,30557281289,,0--,4,Argentina,1,Buenos Aires,3269,,,CARLOS TEJEDOR,5251,,,1678,11-47503942,11-47344863,222090
19,,1,POLTECH SRL,POLTECH_SRL,lucasarielviada@hotmail.com,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por menor de materiales de construcción n.c.p.,30709986925,,2006-09-05,4,Argentina,1,Misiones,2,,,RUTA NACIONAL 12 KM 1352,0,,,3304,0-0,0-0,222090
20,,1,MAXEPA SRL,MAXEPA_SRL,info@maxepasrl.com.ar,www.maxepasrl.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,30708592516,,2003-10-01,5,Argentina,1,La Pampa,1318,,,VISCARDIS,0,,,6360,2302-435169,2302-424894,222090
21,,1,GUNDEL MECANICA DE PRECISION SA,GUNDEL_MECANICA_DE_PRECISION_SA,Juangundel@speedy.com.ar,,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),"Actividades especializadas de construcción n.c.p. (Incluye el alquiler, montaje y desmantelamiento de andamios, la construcción de chimeneas y hornos industriales, el acorazamiento de cajas fuertes y cámaras frigoríficas, el armado e instalación de compuertas para diques, etc.)",30710669933,,2008-03-26,9,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,PALERMO,,CHARCAS,2872,2,E,1425,2284-423631,2284-440006,241009
22,,1,METALURGICA TORCEN SRL,METALURGICA_TORCEN_SRL,info@torcen.com.ar,www.torcen.com.ar,Fabricación de productos metálicos de tornería y/o matricería,Fabricación de cojinetes engranajes trenes de engranaje y piezas de transmisión,30709599476,,2006-03-03,20,Argentina,1,Cordoba,838,PARQUE INDUSTRIAL,,CALLE N,10,,,2580,3472-424353,3472-443040,259993
23,,1,FIDRA SRL,FIDRA_SRL,info@laoval.com.ar,www.laoval.com.ar,Fabricación de productos metálicos de tornería y/o matricería,,30610494427,,1984-03-26,22,Argentina,1,Buenos Aires,3269,,,SAN LORENZO,3001,,,1644,11-47447977,0-0,259993
24,,1,BOLIGRAFOS NYP SA,BOLIGRAFOS_NYP_SA,Adriano@boligrafosnyp.com,www.boligrafosnyp.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,30713110007,,2012-10-18,4,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,SUIPACHA,745,3,H,1008,0-0,0-0,222090
25,,1,LUK PARTY SRL,LUK_PARTY_SRL,lukpartysrl@hotmail.com,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de juguetes (Incluye artículos de cotillón),30712030190,,2011-06-29,5,Argentina,1,Buenos Aires,3269,,,GALLO,251,,,1832,0-0,0-0,222090
26,,1,AEROSOLES HECSPI SACIFIMS,AEROSOLES_HECSPI_SACIFIMS,julircaro@gmail.com,,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Fabricación de productos químicos n.c.p. (Incluye la producción de aceites esenciales, tintas excepto para imprenta, etc.)",34521323681,,1968-08-28,43,Argentina,1,Buenos Aires,3269,,,OMBU,5844,,,1766,11-46998958,11-46996378,329090
27,,1,FRIOTEX SRL,FRIOTEX_SRL,friotex@friotex.com.ar,www.friotex.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,30708940425,,2004-09-30,7,Argentina,1,Santa Fe,2189,,,CORRIENTES,5511,,,2000,0-0,0-0,329090
28,,1,BOTIX SRL,BOTIX_SRL,Info@botix.com.ar,www.botix.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.",30708573279,,2003-09-02,6,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,JUNCAL,3678,2,A,1425,11-48710061,0-0,329090
29,,1,CAPOZUCCA SRL,CAPOZUCCA_SRL,info@capozucca.com.ar,www.capozucca.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,Servicio de transporte automotor de cargas n.c.p. (Incluye servicios de transporte de carga refrigerada y transporte pesado),30594344509,,1982-07-13,20,Argentina,1,Santa Fe,2189,,,AV BERMUDEZ,5074,,,2000,341-4651456,341-4637653,282909
30,,1,INTER RUEDA SA,INTER_RUEDA_SA,inter_ruedas@ciudad.com.ar,,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,30663740578,,1993-06-15,23,Argentina,1,Buenos Aires,3269,,,ISAAC NEWTON,610,,,1674,11-47125770,11-47573145,329090
31,,1,SCRAM SRL,SCRAM_SRL,administracion@scram.com.ar,www.scram.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,30502602418,,1950-07-20,23,Argentina,1,Santa Fe,2189,,,9 DE JULIO,55,,,2000,341-4267766,341-4267711,329090
32,,1,LUSSO SRL,LUSSO_SRL,rosana@lussosrl.com.ar,www.lussosrl.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Fabricación de muebles y partes de muebles, principalmente de madera",30708219971,,2003-01-20,23,Argentina,1,Buenos Aires,3269,,,CABRERA,2466,,,1754,11-44416632,11-44417702,329090
33,,1,LATECBA SA,LATECBA_SA,Latecba@latecba.com,www.latecba.com,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p, (Incluye prótesis, aparatos ortopédicos, materiales para fracturas, etc.)",30676666253,,1994-01-07,23,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,MAZA,1948,,,1240,11-49120064,11-49120031,329090
34,,1,ROSARIO BOLSAS SRL,ROSARIO_BOLSAS_SRL,rosariobolsas@yahoo.com.ar,,Fabricación de bolsas de materiales textiles para productos a granel,Fabricación de artículos de lona y sucedáneos de lona,30707477179,,2000-12-21,4,Argentina,1,Santa Fe,2189,,,PROVINCIAS UNIDAS,1101,,,2000,341-4569479,0-0,139204
35,,1,ISI MUSTANG ARGENTINA SA,ISI_MUSTANG_ARGENTINA_SA,gonzalotejada@isi-solutions.net,www.isi-solutions.net,Fabricación de maquinaria y equipo de uso especial n.c.p.,Fabricación de maquinaria y equipo de uso especial n.c.p.,33707395759,,2000-10-24,128,Argentina,1,Mendoza,1365,,,AV PEDRO MOLINA,714,,,5500,261-4631154,261-4397480,282909
36,,1,MEKANO SRL,MEKANO_SRL,Administracion@mekanoar.com,www.mekanoar.com,Fabricación de productos metálicos para uso estructural,"Actividades especializadas de construcción n.c.p. (Incluye el alquiler, montaje y desmantelamiento de andamios, la construcción de chimeneas y hornos industriales, el acorazamiento de cajas fuertes y cámaras frigoríficas, el armado e instalación de compuertas para diques, etc.)",30686199017,,1993-03-04,34,Argentina,1,Buenos Aires,3269,,,TTE CNEL GUIFRA,768,,,1870,11-42225132,11-42224762,251102
37,,1,SA DE CONSTRUCCION Y MONTAJE DON FIERRO,SA_DE_CONSTRUCCION_Y_MONTAJE_DON_FIERRO,info@donfierro.com.ar,www.donfierro.com.ar,Fabricación de productos metálicos para uso estructural,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",30517318015,,1979-06-12,34,Argentina,1,Buenos Aires,3269,,,BERMEJO,1055,,,1876,11-42513750,11-42513748,251102
38,,1,ALBORNOZ MARCELO ALEJANDRO Y PEREZ LEANDRO SEBASTIAN SH,ALBORNOZ_MARCELO_ALEJANDRO_Y_PEREZ_LEANDRO_SEBASTIAN_SH,lymaluminio@hotmail.com,,Fabricación de carpintería metálica,,30711738211,,0--,5,Argentina,1,Entre Ríos,337,,,CORRIENTES,34,,,3164,343-4901546,0-0,251101
39,,1,FALFER SA,FALFER_SA,ventas@falfersa.com.ar,www.falfersa.com.ar,Fabricación de equipo eléctrico n.c.p.,"Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas, de artículos religiosos -santerías-, recarga de matafuegos, etc.)",30560996612,,1990-11-14,41,Argentina,1,Mendoza,1365,,,SALTA,1753,,,5500,261-3482621,261-3485742,279000
40,,1,AR MONT MADERAS SA,AR_MONT_MADERAS_SA,Info@armont.com.ar,www.armont.com.ar,Aserrado y cepillado de madera implantada,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",30711099669,,2008-09-18,3,Argentina,1,Buenos Aires,3269,,,AVENIDA CONSTITUCION,740,,,1669,0-0,0-0,161002
41,,1,SERVICIOS PARA LA INDUSTRIA Y MINERIA SRL,SERVICIOS_PARA_LA_INDUSTRIA_Y_MINERIA_SRL,ventas@ceitucuman.com.ar,www.ceitucuman.com.ar,Fabricación de equipo eléctrico n.c.p.,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natural",30708503505,,2003-09-26,42,Argentina,1,Tucumán,2576,CIUDADELA,,PASAJE AMBROSIO NOUGUES,1719,,,4000,381-4244922,381-4247927,279000
42,,1,ATENEA LIVING SRL,ATENEA_LIVING_SRL,adriancmiguel@yahoo.com.ar,,"Fabricación de muebles y partes de muebles, principalmente de madera","Venta al por menor de muebles para el hogar, artículos de mimbre y corcho",30710549164,,2007-09-13,30,Argentina,1,Buenos Aires,3269,,,13,557,,,1900,0-0,0-0,310010
43,,1,DALAGI GROUP SA,DALAGI_GROUP_SA,dalagi@telnet.com.ar,www.telnet.com.ar,Fabricación de cojinetes engranajes trenes de engranaje y piezas de transmisión,"Servicios inmobiliarios realizados por cuenta propia, con bienes rurales propios o arrendados n.c.p.",30673886910,,1995-09-04,17,Argentina,1,Santa Fe,2189,,,CALLE 15 N,0,,,2505,3471-472479,0-0,281400
44,,1,METALURGICA AQUILES TREGNAGHI SACIFI,METALURGICA_AQUILES_TREGNAGHI_SACIFI,aat.arena@gmail.com,,"Fabricación de cerraduras, herrajes y artículos de ferretería n.c.p.",,30516956042,,1968-10-31,40,Argentina,1,Buenos Aires,3269,,,ROCA,4535,,,1602,11-47618625,11-47619015,259309
45,,1,INDUSTRIAS BARTOLI HNOS SRL,INDUSTRIAS_BARTOLI_HNOS_SRL,info@bartolihnos.com.ar,www.bartolihnos.com.ar,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",Fabricación de maquinaria y equipo de uso especial n.c.p.,30710816286,,2008-11-03,18,Argentina,1,Entre Ríos,337,,,INTENDENTE RIVERO Y RUTA 32 0,0,,,3133,0-0,0-0,251200
46,,1,MOBEL ART SA,MOBEL_ART_SA,mobelart@mobelart.com.ar,www.mobelart.com.ar,"Fabricación de muebles y partes de muebles, principalmente de madera","Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.",30700915154,,1999-03-26,10,Argentina,1,Buenos Aires,3269,,,AVELLANEDA,2361,,,1674,11-47125355,11-46232535,310010
47,,1,INDUSTRIAS EL ALTO SA,INDUSTRIAS_EL_ALTO_SA,admventas@elaltosa.com,www.elaltosa.com,"Fabricación de muebles y partes de muebles, principalmente de madera",,30709250643,,2005-06-13,9,Argentina,1,Santa Fe,2189,,,URQUIZA,447,,,2123,3464-493191,0-0,310010
48,,1,MATERYN EQUIPAMIENTOS SRL,MATERYN_EQUIPAMIENTOS_SRL,consultas@materyn.com,www.materyn.com,"Fabricación de muebles y partes de muebles, principalmente de madera",Venta al por mayor de muebles e instalaciones para oficinas,30708492082,,2003-06-17,9,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,ARENAL CONCEPCION,3662,,,1427,11-47788900,11-45085053,310010
49,,1,METALURGICA FIORITO SRL,METALURGICA_FIORITO_SRL,info@metalurgicafiorito.com.ar,www.metalurgicafiorito.com.ar,Fabricación de carpintería metálica,Fabricación de productos metálicos para uso estructural,30681108315,,1994-04-15,9,Argentina,1,Entre Ríos,337,,,GALAN,1289,,,3100,343-4372903,0-0,251101
50,,1,MAMPARAL SRL,MAMPARAL_SRL,Administracion@mamparal.com,www.mamparal.com,Fabricación de carpintería metálica,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",30559184809,,1980-04-14,7,Argentina,1,Buenos Aires,3269,,,ALSINA,1166,,,1702,11-44882324,11-46535724,251101
51,,1,LABEL GROUP SRL,LABEL_GROUP_SRL,administracion@openpack.com.ar,www.openpack.com.ar,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),"Impresión n.c.p., excepto de diarios y revistas",30709991112,,2006-10-20,29,Argentina,1,Buenos Aires,3269,,,VELEZ SARSFIELD,2680,,,1640,11-47561001,11-45125350,170990
52,,1,ACP SRL,ACP_SRL,acp-srl@hotmail.com,,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),,30708590327,,2003-10-17,28,Argentina,1,Buenos Aires,3269,,,AV BERNARDINO RIVADAVIA,1223,,,1824,11-42288832,0-0,170990
53,,1,POLHER SRL,POLHER_SRL,insumos@polher.com.ar,www.polher.com.ar,Fabricación de envases plásticos,Venta al por mayor de envases de papel y cartón,30708150564,,2002-11-14,4,Argentina,1,Cordoba,838,,,MITRE,1160,,,5800,358-4646464,0-0,222010
54,,1,CUM SRL,CUM_SRL,cumservicioymontaje@hotmail.com,,Tratamiento y revestimiento de metales y trabajos de metales en general,Fabricación de maquinaria y equipo de uso especial n.c.p.,30712066411,,2011-10-03,10,Argentina,1,Santa Fe,2189,,,RUTA 11 4121,0,,,3017,0-0,0-0,259200
55,,1,NEUMATICOS OSVALDO OBERMANN E HIJOS SRL,NEUMATICOS_OSVALDO_OBERMANN_E_HIJOS_SRL,960alberto@gmail.com,,Recauchutado y renovación de cubiertas,Venta al por menor de cámaras y cubiertas,30605730546,,1985-04-08,31,Argentina,1,Misiones,2,,,B ROQUE GONZALEZ NORTE,1054,,,3360,3755-420873,3755-424750,221120
56,,1,HAUSER SRL,HAUSER_SRL,hauser74@yahoo.com.ar,,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto","Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo",30710199996,,2007-05-16,4,Argentina,1,Cordoba,838,,,DEAN FUNES,1267,PB,,5000,0-0,0-0,141199
57,,1,EXTRUDER SRL,EXTRUDER_SRL,administracion@extruder.com.ar,www.extruder.com.ar,Fabricación de envases plásticos,Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario,30709222844,,2005-05-02,4,Argentina,1,Buenos Aires,3269,,,10,1330,,,1900,221-4644264,0-0,222010
58,,1,DUOPACK SRL,DUOPACK_SRL,info@duopack.com.ar,www.duopack.com.ar,Fabricación de envases plásticos,,30708776498,,2004-05-06,5,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,PORTELA,3048,,,1437,11-49180036,11-49199008,222010
59,,1,BURKOOL SA,BURKOOL_SA,bernasconi.juan@inta.gob.ar,www.inta.gob.ar,Fabricación de productos de caucho n.c.p.,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",30701150119,,1999-02-23,37,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,OLAZABAL,1515,9,,1428,11-46548248,11-44690587,221909
60,,1,RECICLADOS SANTA FE SRL,RECICLADOS_SANTA_FE_SRL,rubencporta@yahoo.com.ar,,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),Recuperación de materiales y desechos metálicos,33708103999,,2002-10-07,4,Argentina,1,Santa Fe,2189,,,DIAGONAL SUR,1395,,,3001,0-0,0-0,241009
61,,1,SUPERTEX SA,SUPERTEX_SA,info@supertex.com.ar,www.supertex.com.ar,Fabricación de accesorios de vestir excepto de cuero,Fabricación de productos textiles n.c.p.,30709060356,,2004-01-07,109,Argentina,1,La Rioja,1579,,,LA PLATA,0,,,5301,0-0,0-0,141191
62,,1,TOOL SHOP SRL,TOOL_SHOP_SRL,impo@tool-shop.com.ar,www.tool-shop.com.ar,Fabricación de bombas 2,"Fabricación de motores, generadores y transformadores eléctricos",30707804013,,2001-11-01,18,Argentina,1,Cordoba,838,,,BV,25,,,2400,3564-439321,3564-435853,281201
63,,1,VAICRIL SA,VAICRIL_SA,vaicril@rcc.com.ar,,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,30568531155,,1977-10-13,11,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,DOBLAS,339,2,A,1424,11-42089707,11-42083740,329090
64,,1,RCT TYRE SA,RCT_TYRE_SA,info@camarascolla.com,www.camarascolla.com,Fabricación de productos de caucho n.c.p.,,30714310743,,2013-10-03,32,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,BONIFACIO JOSE,2291,,,1406,0-0,0-0,221909
65,,1,Q H INGENIERIA Y SERVICIOS SA,Q_H_INGENIERIA_Y_SERVICIOS_SA,qhadministracion@arnet.com.ar,,Fabricación de productos metálicos para uso estructural,"Alquiler de maquinaria y equipo n.c.p., sin personal",30707378197,,2000-08-24,19,Argentina,1,Santa Fe,2189,,,AV ARIJON,3290,,,2000,341-4626198,341-4616868,251102
66,,1,METALURGICA Y SERVICIOS RODO SRL,METALURGICA_Y_SERVICIOS_RODO_SRL,metalurgicarodo@arnet.com.ar,,Fabricación de productos metálicos para uso estructural,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",30710355653,,2007-11-12,18,Argentina,1,Buenos Aires,3269,,,NECOCHEA,360,,,2900,0-0,0-0,251102
67,,1,JOSE CASCASI Y CIA SA,JOSE_CASCASI_Y_CIA_SA,info@josecascasi.com.ar,www.josecascasi.com.ar,Fabricación de productos metálicos para uso estructural,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",30518686662,,1970-01-30,19,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,GUAMINI,1148,,,1408,0-0,0-0,251102
68,,1,APRILON SA,APRILON_SA,aprilon@infovia.com.ar,,Fabricación de hilados textiles de algodón y sus mezclas,Fabricación de tejidos de punto,30604084136,,1984-06-11,29,Argentina,1,San Luis,143,,,CALLE,1,,,5700,0-4434685,266-4434685,131132
69,,1,BUCO SACI,BUCO_SACI,info@buco.com.ar,www.buco.com.ar,Fabricación de productos de caucho n.c.p.,,30547279731,,1971-11-30,50,Argentina,1,Buenos Aires,3269,,,HAENDEL,1,,,1619,11-47625821,11-47560126,221909
70,,1,WARBEL SA,WARBEL_SA,info@warbel.com.ar,www.warbel.com.ar,Fabricación de productos de caucho n.c.p.,Servicios de limpieza general de edificios,30599213631,,1982-09-09,49,Argentina,1,Chaco,2900,,,RUTA NAC 11 KM 1006,0,,,3500,362-4402012,362-4402011,221909
71,,1,VEMAR SRL,VEMAR_SRL,info@ollas-sartenes.com.ar,www.ollas-sartenes.com.ar,Fabricación de artículos de cuchillería y utensilios de mesa y de cocina,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",30647590507,,1991-11-27,61,Argentina,1,Santa Fe,2189,,,GRAL LOPEZ,855,,,2124,0-922065,0-922065,259302
72,,1,CULPINA SA,CULPINA_SA,info@carroceriasculpina.com.ar,www.carroceriasculpina.com.ar,Fabricación de carrocerías para vehículos automotores fabricación de remolques y semirremolques,,30707116389,,2000-03-02,10,Argentina,1,Buenos Aires,3269,,,RUTA DE LA TRADICION 5765,0,,,1776,11-46930868,0-0,292000
73,,1,TEXTIL CALCHAQUI SACIFI,TEXTIL_CALCHAQUI_SACIFI,gladys@textilcalchaqui.com.ar,www.textilcalchaqui.com.ar,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas",Venta al por mayor de mercancías n.c.p.,30702869028,,1999-07-26,16,Argentina,1,Buenos Aires,3269,,,SAN LUIS ESQUINA USARES,1778,,,1878,11-42576035,11-42538170,131209
74,,1,OCCHIPINTI HNOS SA,OCCHIPINTI_HNOS_SA,ventas@occhipinti_sa.com.ar,www.occhipinti.com.ar,Fabricación de carpintería metálica,,30562284504,,1991-01-01,34,Argentina,1,Buenos Aires,3269,,,CABRERA,348,,,1752,11-44549335,11-46554785,251101
75,,1,POLIURETANOS CATAMARCA SA,POLIURETANOS_CATAMARCA_SA,gabriel_valdez@flexigom.com,www.flexigom.com,Fabricación de somieres y colchones,,30616377996,,1986-08-11,26,Argentina,1,Cordoba,838,CENTRO,,RIVADAVIA,150,13,14,5000,351-4112292,351-4112290,310030
76,,1,TRYMO SRL,TRYMO_SRL,trymo@trymo.com,www.trymo.com,Fabricación de envases plásticos,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",30604734084,,1984-11-27,28,Argentina,1,Buenos Aires,3269,,,BESARES,3651,B,,1702,11-46534348,11-46535201,222010
